frame.number|ip.src|ip.dst|_ws.col.protocol|frame.len|kerberos.CNameString|kerberos.realm|kerberos.SNameString|ntlmssp.auth.username|ntlmssp.auth.domain|ntlmssp.auth.hostname
25859|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
25860|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
25861|10.1.17.215|10.1.17.2|EPM|222||||||
25862|10.1.17.2|10.1.17.215|EPM|322||||||
25863|10.1.17.215|10.1.17.2|DRSUAPI|258||||||
25864|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
25865|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
25866|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
25867|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
25868|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
25872|10.1.17.215|10.1.17.2|LDAP|404||||||
25874|10.1.17.2|10.1.17.215|LDAP|1450||||||
25877|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
25879|10.1.17.2|10.1.17.215|LDAP|264||||||
25880|10.1.17.215|10.1.17.2|LDAP|238||||||
25881|10.1.17.2|10.1.17.215|LDAP|262||||||
25882|10.1.17.215|10.1.17.2|LDAP|243||||||
25883|10.1.17.2|10.1.17.215|LDAP|220||||||
25884|10.1.17.215|10.1.17.2|LDAP|237||||||
25885|10.1.17.2|10.1.17.215|LDAP|273||||||
25890|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
25892|10.1.17.2|10.1.17.215|LDAP|264||||||
25893|10.1.17.215|10.1.17.2|LDAP|172||||||
25896|10.1.17.2|10.1.17.215|LDAP|330||||||
25898|10.1.17.215|10.1.17.2|LDAP|312||||||
25899|10.1.17.2|10.1.17.215|LDAP|340||||||
25900|10.1.17.215|10.1.17.2|LDAP|129||||||
25903|10.1.17.215|10.1.17.2|LDAP|129||||||
26001|10.1.17.215|10.1.17.255|BROWSER|228||||||
26002|10.1.17.215|10.1.17.255|BROWSER|228||||||
26010|10.1.17.215|10.1.17.255|BROWSER|228||||||
26015|10.1.17.215|10.1.17.255|BROWSER|228||||||
26016|10.1.17.215|10.1.17.255|BROWSER|240||||||
26019|10.1.17.215|10.1.17.255|BROWSER|240||||||
26021|10.1.17.215|10.1.17.255|BROWSER|240||||||
26028|10.1.17.215|10.1.17.255|BROWSER|240||||||
26054|10.1.17.215|10.1.17.2|SMB|213||||||
26060|10.1.17.215|10.1.17.2|SMB2|936||BLUEMOONTUESDAY.COM|cifs,WIN-GSH54QLW48D.bluemoontuesday.com|||
